'20100427161937-04003001-05-VIS.jpg' , [-86.900823, 40.405502, 1790.6315135736002] , [[0.33463627225905085, -0.3667009748262301, -0.8680719787840516, 0.0], [0.8193545390118098, 0.5682528239680934, 0.07580809622350192, 0.0], [0.46548545056672935, -0.7366268547329642, 0.4906161148972885, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
'20100427161937-04003002-00-VIS.jpg' , [-86.900345, 40.40573, 1790.7259360416] , [[0.3433523009845949, -0.3618845477592706, -0.8666883935427151, 0.0], [0.8084585347285163, 0.5835437379813914, 0.07662573645535602, 0.0], [0.4780209148491356, -0.7269912516363408, 0.492929736383414, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
'20100427161937-04003002-01-VIS.jpg' , [-86.900345, 40.40573, 1790.7259360416] , [[0.3433523009845949, -0.3618845477592706, -0.8666883935427151, 0.0], [0.8084585347285163, 0.5835437379813914, 0.07662573645535602, 0.0], [0.4780209148491356, -0.7269912516363408, 0.492929736383414, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
'20100427161937-04003002-02-VIS.jpg' , [-86.900345, 40.40573, 1790.7259360416] , [[0.3433523009845949, -0.3618845477592706, -0.8666883935427151, 0.0], [0.8084585347285163, 0.5835437379813914, 0.07662573645535602, 0.0], [0.4780209148491356, -0.7269912516363408, 0.492929736383414, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
'20100427161937-04003002-03-VIS.jpg' , [-86.900345, 40.40573, 1790.7259360416] , [[0.3433523009845949, -0.3618845477592706, -0.8666883935427151, 0.0], [0.8084585347285163, 0.5835437379813914, 0.07662573645535602, 0.0], [0.4780209148491356, -0.7269912516363408, 0.492929736383414, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
'20100427161937-04003002-04-VIS.jpg' , [-86.900345, 40.40573, 1790.7259360416] , [[0.3433523009845949, -0.3618845477592706, -0.8666883935427151, 0.0], [0.8084585347285163, 0.5835437379813914, 0.07662573645535602, 0.0], [0.4780209148491356, -0.7269912516363408, 0.492929736383414, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
'20100427161937-04003002-05-VIS.jpg' , [-86.900345, 40.40573, 1790.7259360416] , [[0.3433523009845949, -0.3618845477592706, -0.8666883935427151, 0.0], [0.8084585347285163, 0.5835437379813914, 0.07662573645535602, 0.0], [0.4780209148491356, -0.7269912516363408, 0.492929736383414, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
'20100427161938-04003003-00-VIS.jpg' , [-86.899848, 40.405976, 1790.8948010328002] , [[0.3509321330789372, -0.35684462729577826, -0.8657416184652349, 0.0], [0.7985170028064362, 0.596945568511273, 0.07763107923878741, 0.0], [0.48909838908106507, -0.7185526426121402, 0.49443388394548465, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
'20100427161938-04003003-01-VIS.jpg' , [-86.899848, 40.405976, 1790.8948010328002] , [[0.3509321330789372, -0.35684462729577826, -0.8657416184652349, 0.0], [0.7985170028064362, 0.596945568511273, 0.07763107923878741, 0.0], [0.48909838908106507, -0.7185526426121402, 0.49443388394548465, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
'20100427161938-04003003-02-VIS.jpg' , [-86.899848, 40.405976, 1790.8948010328002] , [[0.3509321330789372, -0.35684462729577826, -0.8657416184652349, 0.0], [0.7985170028064362, 0.596945568511273, 0.07763107923878741, 0.0], [0.48909838908106507, -0.7185526426121402, 0.49443388394548465, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
