'20100427161936-04003000-00-VIS.jpg' , [-86.91494, 40.422234, 140.0] , [[0.832218, 0.549681, 0.0725507, -42.6287], [0.394688, -0.495426, -0.773806, -119.691], [-0.389403, 0.67261, -0.629255, 2746.35], [0.0, 0.0, 0.0, 1.0]] , [14046.0, 14046.0, 1624.0, 2436.0]
'20100427161937-04003001-00-VIS.jpg' , [-86.91494, 40.422234, 140.0] , [[0.821457, 0.56561, 0.0727566, -53.1284], [0.402804, -0.485172, -0.776117, -111.013], [-0.40368, 0.666853, -0.626378, 2747.42], [0.0, 0.0, 0.0, 1.0]] , [14046.0, 14046.0, 1624.0, 2436.0]
'20100427161937-04003002-00-VIS.jpg' , [-86.91494, 40.422234, 140.0] , [[0.810617, 0.580936, 0.0735832, -60.8903], [0.413508, -0.478909, -0.774376, -119.648], [-0.414623, 0.658149, -0.628433, 2747.95], [0.0, 0.0, 0.0, 1.0]] , [14046.0, 14046.0, 1624.0, 2436.0]
'20100427161938-04003003-00-VIS.jpg' , [-86.91494, 40.422234, 140.0] , [[0.800724, 0.594371, 0.0745953, -75.5209], [0.422847, -0.472612, -0.7732, -126.436], [-0.424313, 0.650662, -0.62976, 2748.7], [0.0, 0.0, 0.0, 1.0]] , [14046.0, 14046.0, 1624.0, 2436.0]
'20100427161939-04003004-00-VIS.jpg' , [-86.91494, 40.422234, 140.0] , [[0.790719, 0.607645, 0.0743723, -88.1697], [0.43, -0.464821, -0.773977, -124.921], [-0.435734, 0.643978, -0.62883, 2749.87], [0.0, 0.0, 0.0, 1.0]] , [14046.0, 14046.0, 1624.0, 2436.0]
'20100427161940-04003005-00-VIS.jpg' , [-86.91494, 40.422234, 140.0] , [[0.780868, 0.620542, 0.071922, -98.4719], [0.434235, -0.456415, -0.776611, -115.988], [-0.449094, 0.637662, -0.625861, 2751.73], [0.0, 0.0, 0.0, 1.0]] , [14046.0, 14046.0, 1624.0, 2436.0]
'20100427161941-04003006-00-VIS.jpg' , [-86.91494, 40.422234, 140.0] , [[0.770073, 0.634091, 0.0701105, -109.131], [0.440334, -0.448784, -0.777623, -113.932], [-0.46162, 0.629699, -0.624809, 2753.09], [0.0, 0.0, 0.0, 1.0]] , [14046.0, 14046.0, 1624.0, 2436.0]
'20100427161941-04003007-00-VIS.jpg' , [-86.91494, 40.422234, 140.0] , [[0.760022, 0.646223, 0.0690186, -119.768], [0.449992, -0.446642, -0.773316, -135.4], [-0.468908, 0.618795, -0.630253, 2753.83], [0.0, 0.0, 0.0, 1.0]] , [14046.0, 14046.0, 1624.0, 2436.0]
'20100427161942-04003008-00-VIS.jpg' , [-86.91494, 40.422234, 140.0] , [[0.749412, 0.658457, 0.0693987, -134.866], [0.458211, -0.440115, -0.772232, -142.853], [-0.477938, 0.610519, -0.63154, 2755.22], [0.0, 0.0, 0.0, 1.0]] , [14046.0, 14046.0, 1624.0, 2436.0]
'20100427161943-04003009-00-VIS.jpg' , [-86.91494, 40.422234, 140.0] , [[0.737948, 0.671116, 0.0709621, -149.139], [0.464015, -0.42823, -0.775442, -131.227], [-0.490023, 0.605163, -0.627419, 2757.43], [0.0, 0.0, 0.0, 1.0]] , [14046.0, 14046.0, 1624.0, 2436.0]
