S71,40,24,59.38911,-86,55,48.10682,155.758,505936.201,4473988.327,155.758,0.004,0.001,0.001
S72,40,24,59.06159,-86,55,48.10317,155.785,505936.295,4473978.228,155.785,0.016,0.010,0.006
S73,40,24,59.47528,-86,55,49.52211,155.306,505902.846,4473990.957,155.306,0.020,0.012,0.005
S74,40,24,59.05502,-86,55,49.51853,155.306,505902.940,4473978.000,155.306,0.010,0.025,0.013
S75,40,24,59.28000,-86,55,50.19248,158.946,505887.052,4473984.924,158.946,0.009,0.010,0.007
S76,40,24,58.46391,-86,55,50.13602,163.492,505888.402,4473959.762,163.492,0.006,0.002,0.004
S77,40,24,57.65588,-86,55,50.18035,158.872,505887.377,4473934.848,158.872,0.024,0.013,0.011
S78,40,24,57.64457,-86,55,52.77008,158.819,505826.347,4473934.451,158.819,0.005,0.010,0.003
S79,40,24,58.45624,-86,55,52.82892,163.460,505824.941,4473959.476,163.460,0.000,0.010,0.010
S80,40,24,59.26976,-86,55,52.78407,158.921,505825.978,4473984.560,158.921,0.007,0.015,0.019
S81,40,24,59.48216,-86,55,51.53224,157.287,505855.474,4473991.132,157.287,0.000,0.005,0.028
S82,40,24,59.48427,-86,55,51.10160,157.305,505865.623,4473991.205,157.305,0.002,0.003,0.010
S84,40,25,32.93123,-86,54,58.95691,173.637,507093.506,4475023.533,173.637,0.005,0.007,0.008
S85,40,25,32.93322,-86,54,58.56634,173.676,507102.709,4475023.603,173.676,0.001,0.003,0.025
S88,40,25,32.65282,-86,54,58.97195,186.720,507093.160,4475014.949,186.720,0.000,0.012,0.026
S90,40,25,32.54129,-86,54,58.93604,188.477,507094.009,4475011.511,188.477,0.012,0.027,0.014
S91,40,25,32.54362,-86,54,58.19717,188.444,507111.419,4475011.599,188.444,0.005,0.011,0.021
S93,40,25,32.02797,-86,54,58.15776,186.745,507112.363,4474995.701,186.745,0.022,0.008,0.022
S94,40,25,31.15364,-86,54,58.94642,173.622,507093.805,4474968.725,173.622,0.000,0.012,0.012
S98,40,25,32.65765,-86,54,56.61437,187.345,507148.711,4475015.150,187.345,0.006,0.016,0.004
S101,40,25,32.43580,-86,54,56.18986,187.314,507158.721,4475008.320,187.314,0.000,0.001,0.019
S105,40,25,33.59944,-86,54,56.27314,191.916,507156.724,4475044.196,191.916,0.001,0.006,0.036
S108,40,25,33.54372,-86,54,57.07914,193.385,507137.596,4475042.639,193.385,0.057,0.008,0.019
S109,40,25,34.93756,-86,54,56.36565,193.389,507154.505,4475085.452,193.389,0.052,0.088,0.018
S110,40,25,34.94154,-86,54,57.06500,193.399,507138.026,4475085.559,193.399,0.082,0.098,0.010
S112,40,25,34.88333,-86,54,57.17232,191.895,507135.499,4475083.762,191.895,0.085,0.105,0.050
S131,40,25,28.08547,-86,54,46.08020,160.566,507397.068,4474874.418,160.566,0.004,0.004,0.004
S132,40,25,28.51721,-86,54,44.99795,160.572,507422.557,4474887.755,160.572,0.002,0.001,0.005
S134,40,25,29.05565,-86,54,44.16972,171.134,507442.056,4474904.376,171.134,0.002,0.003,0.004
S136,40,25,29.61889,-86,54,43.07590,171.093,507467.813,4474921.768,171.093,0.007,0.010,0.004
S137,40,25,29.75899,-86,54,44.91997,171.763,507424.356,4474926.044,171.763,0.003,0.002,0.008
S138,40,25,30.72240,-86,54,45.11880,171.104,507419.642,4474955.744,171.104,0.000,0.011,0.005
S139,40,25,30.49674,-86,54,45.83374,171.128,507402.802,4474948.770,171.128,0.007,0.005,0.005
S142,40,25,31.77004,-86,54,46.47431,178.608,507387.670,4474988.014,178.608,0.001,0.012,0.002
S143,40,25,31.76741,-86,54,47.08141,178.624,507373.365,4474987.919,178.624,0.012,0.002,0.002
S144,40,25,30.64029,-86,54,46.46581,178.615,507387.904,4474953.181,178.615,0.008,0.001,0.004
S145,40,25,30.63795,-86,54,47.07297,178.608,507373.598,4474953.095,178.608,0.002,0.002,0.002
S146,40,25,31.45855,-86,54,48.38761,171.095,507342.596,4474978.366,171.095,0.002,0.006,0.005
S147,40,25,30.77970,-86,54,48.38314,171.091,507342.722,4474957.435,171.091,0.008,0.006,0.004
S148,40,25,29.65246,-86,54,47.65936,171.091,507359.810,4474922.696,171.091,0.002,0.001,0.005
S149,40,25,29.65420,-86,54,47.07933,171.117,507373.478,4474922.763,171.117,0.003,0.002,0.007
S150,40,25,28.94074,-86,54,47.07403,171.097,507373.624,4474900.765,171.097,0.001,0.006,0.006
S152,40,25,28.83346,-86,54,48.42856,164.697,507341.710,4474897.426,164.697,0.000,0.001,0.005
S153,40,25,29.75178,-86,54,46.39890,175.159,507389.508,4474925.787,175.159,0.002,0.008,0.010
S154,40,25,29.75688,-86,54,45.21151,175.143,507417.487,4474925.972,175.143,0.003,0.004,0.004
S156,40,25,29.51138,-86,54,46.39645,175.171,507389.573,4474918.375,175.171,0.003,0.002,0.010
S170,40,25,50.43227,-86,54,54.44528,175.597,507199.295,4475563.243,175.597,0.002,0.002,0.004
S172,40,25,49.31697,-86,54,54.97696,175.592,507186.801,4475528.843,175.592,0.016,0.007,0.011
S173,40,25,47.21814,-86,54,52.73394,175.539,507239.713,4475464.180,175.539,0.003,0.016,0.002
S175,40,25,48.47301,-86,54,51.45915,175.564,507269.711,4475502.901,175.564,0.006,0.004,0.002
S177,40,25,48.77653,-86,54,53.64547,175.775,507218.189,4475512.209,175.775,0.011,0.004,0.013
S178,40,25,49.35555,-86,54,52.74050,177.329,507239.495,4475530.083,177.329,0.007,0.006,0.010
S179,40,25,49.79989,-86,54,53.21542,177.351,507228.291,4475543.772,177.351,0.004,0.008,0.011
S180,40,25,50.00633,-86,54,52.88674,177.316,507236.030,4475550.145,177.316,0.006,0.003,0.009
S182,40,25,49.56951,-86,54,53.41856,181.593,507223.512,4475536.664,181.593,0.003,0.004,0.002
