'1fps_image_0020.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.034658, -0.999042, 0.0267403, -60.1008], [-0.794719, 0.0113263, -0.606872, -21.5159], [0.605987, -0.042284, -0.79435, 45.5931], [0.0, 0.0, 0.0, 1.0]] , [2505.4000000000001, 2505.4000000000001, 2048.0, 1080.0]
'1fps_image_0021.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0330307, -0.999171, 0.0238016, -59.8801], [-0.790329, 0.0115345, -0.612573, -19.8849], [0.611791, -0.0390448, -0.790055, 46.3821], [0.0, 0.0, 0.0, 1.0]] , [2505.4899999999998, 2505.4899999999998, 2048.0, 1080.0]
'1fps_image_0022.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0602299, -0.997965, 0.0209466, -61.1662], [-0.785647, 0.0344505, -0.617715, -17.3595], [0.615736, -0.0536615, -0.786123, 46.2639], [0.0, 0.0, 0.0, 1.0]] , [2505.5700000000002, 2505.5700000000002, 2048.0, 1080.0]
'1fps_image_0023.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0413557, -0.998932, 0.0206082, -60.2358], [-0.781947, 0.0195191, -0.623039, -17.3681], [0.621971, -0.0418807, -0.781919, 47.9196], [0.0, 0.0, 0.0, 1.0]] , [2505.6399999999999, 2505.6399999999999, 2048.0, 1080.0]
'1fps_image_0024.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0578954, -0.998113, 0.0204646, -60.9081], [-0.781621, 0.0325663, -0.622903, -16.284], [0.621061, -0.0520587, -0.782032, 48.3299], [0.0, 0.0, 0.0, 1.0]] , [2505.7199999999998, 2505.7199999999998, 2048.0, 1080.0]
'1fps_image_0025.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0444403, -0.998754, 0.0227049, -60.3608], [-0.780114, 0.0204966, -0.625302, -16.6879], [0.624058, -0.045501, -0.780052, 49.9802], [0.0, 0.0, 0.0, 1.0]] , [2505.7600000000002, 2505.7600000000002, 2048.0, 1080.0]
'1fps_image_0026.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.00861867, -0.999735, 0.0213479, -58.593], [-0.775234, -0.00680446, -0.631637, -17.7415], [0.631615, -0.0219935, -0.77497, 52.8122], [0.0, 0.0, 0.0, 1.0]] , [2505.7600000000002, 2505.7600000000002, 2048.0, 1080.0]
'1fps_image_0027.jpg' , [-92.215197, 37.648858, 300.0] , [[0.0352765, -0.999259, 0.0153997, -56.3881], [-0.771676, -0.0370273, -0.634937, -19.0048], [0.635037, 0.0105148, -0.772411, 55.8459], [0.0, 0.0, 0.0, 1.0]] , [2505.75, 2505.75, 2048.0, 1080.0]
'1fps_image_0028.jpg' , [-92.215197, 37.648858, 300.0] , [[0.0913667, -0.995672, 0.0169895, -53.9657], [-0.783372, -0.0823973, -0.616067, -21.9162], [0.614801, 0.0429789, -0.78751, 57.5136], [0.0, 0.0, 0.0, 1.0]] , [2505.7800000000002, 2505.7800000000002, 2048.0, 1080.0]
'1fps_image_0029.jpg' , [-92.215197, 37.648858, 300.0] , [[0.0606285, -0.997769, 0.0279331, -56.4514], [-0.799222, -0.0652907, -0.597479, -20.182], [0.59797, 0.0138995, -0.801398, 55.5061], [0.0, 0.0, 0.0, 1.0]] , [2505.6599999999999, 2505.6599999999999, 2048.0, 1080.0]
'1fps_image_0030.jpg' , [-92.215197, 37.648858, 300.0] , [[0.0130123, -0.99938, 0.0327175, -59.2335], [-0.803283, -0.029933, -0.594845, -16.0259], [0.595455, -0.0185412, -0.803175, 53.4104], [0.0, 0.0, 0.0, 1.0]] , [2505.8600000000001, 2505.8600000000001, 2048.0, 1080.0]
